what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1312072660656
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1312072660656
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1312072660656
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1312072660656
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1312072660656
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1312072660656
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1312072660658
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1312072660658
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1312072660658
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1312072660658
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1312072660658
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1312072660658
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1312072660658
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1312072660658
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1312072660658
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1312072660659
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1312072660659
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1312072660659
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1312072660659
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1312072660659
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1312072660659
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1312072660659
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1312072660659
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312072660659
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1312072660661
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312072660661
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1312072660661
os,sysinfo,,,"macosx",1312072660665
arch,sysinfo,,,"x86_64",1312072660665
ws,sysinfo,,,"cocoa",1312072660665
locale,sysinfo,,,"en_US",1312072660665
processors,sysinfo,,,"2",1312072660665
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312072660665
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1312072660665
java.specification.name,sysinfo,,,"Java Platform API Specification",1312072660665
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312072660665
java.specification.version,sysinfo,,,"1.6",1312072660665
java.vendor,sysinfo,,,"Apple Inc.",1312072660665
java.version,sysinfo,,,"1.6.0_26",1312072660665
java.vm.info,sysinfo,,,"mixed mode",1312072660665
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1312072660665
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312072660665
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312072660665
java.vm.specification.version,sysinfo,,,"1.0",1312072660665
java.vm.vendor,sysinfo,,,"Apple Inc.",1312072660665
java.vm.version,sysinfo,,,"20.1-b02-384",1312072660665
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1312072660672
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1312072660759
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312072689205
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312072689259
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1312072689285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072693316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072695463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072698088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072766782
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1312072771479
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1312072771574
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1312072771599
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1312072771608
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1312072771653
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1312072771658
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1312072771661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072771715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072791200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072795120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072796722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072801573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072845000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072849680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072851481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072852533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072986635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312072989921
